Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Generation GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind combined,9.22,8.58,32.51,217.43,343.50,392.30,487.72,666.98,876.86,850.17,945.83,965.08,1256.02,1285.35,1935.07,2903.90,4225.05,5273.82,7123.42,9283.21,10285.64,15962.96,19847.12,28397.02,31959.32,40274.72,37159.43,49641.12,56907.61,63834.90,75623.16,64923.94,80214.40,82145.85,83282.64
Onshore wind,9.22,8.58,32.51,217.43,343.50,392.30,487.72,666.98,876.86,850.17,944.93,960.14,1251.24,1275.51,1736.39,2501.19,3573.65,4491.28,5788.02,7529.32,7225.97,10813.94,12243.98,16925.38,18554.72,22851.98,20753.69,28725.21,30382.40,31859.75,34872.90,29326.65,35101.72,32495.87,34743.59
Offshore wind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,4.94,4.78,9.84,198.68,402.71,651.40,782.54,1335.40,1753.89,3059.67,5149.02,7603.14,11471.64,13404.60,17422.74,16405.74,20915.91,26525.21,31975.15,40750.26,35597.29,45112.68,49649.98,48539.05
Wave and Tidal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.03,0.03,0.03,0.00,0.02,0.04,0.63,1.88,0.94,4.20,4.76,2.22,2.00,0.01,4.19,9.30,13.99,11.28,5.47,11.23,12.65,13.01
Solar photovoltaics,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.67,1.27,1.82,2.70,2.94,4.01,8.18,10.70,14.00,17.00,20.00,40.28,243.62,1353.75,2010.16,4054.09,7532.86,10395.11,11457.27,12668.39,12418.06,12546.98,12128.46,13982.75,14638.90,14364.44
Hydro:,5206.57,4623.92,5431.38,4301.75,5093.75,4837.58,3392.21,4168.67,5117.25,5335.77,5085.25,4055.71,4787.92,3137.51,4843.95,4921.48,4593.07,5077.30,5144.84,5230.57,3591.37,5691.75,5309.65,4701.48,5887.80,6297.27,5370.42,5881.87,5443.27,5932.90,6878.20,5418.37,5067.57,5463.71,5795.59
Small scale,126.57,141.92,149.38,158.75,158.75,165.58,117.58,163.56,206.38,207.33,214.21,210.23,203.50,150.10,282.65,443.83,477.57,523.31,544.91,566.90,499.53,704.13,678.13,675.06,834.54,983.20,1016.13,1297.47,1295.05,1392.59,1559.12,1289.08,1115.54,1304.27,1427.14
Large scale,5080.00,4482.00,5282.00,4143.00,4935.00,4672.00,3274.63,4005.11,4910.87,5128.44,4871.04,3845.48,4584.42,2987.41,4561.30,4477.65,4115.50,4553.99,4599.93,4663.67,3091.84,4987.62,4631.52,4026.42,5053.26,5314.07,4354.29,4584.40,4148.22,4540.31,5319.08,4129.29,3952.03,4159.44,4368.45
Solid biomass:,0.00,1.04,51.80,121.42,191.70,198.30,196.96,198.55,234.33,459.72,487.13,776.41,840.15,927.31,918.66,841.39,785.42,1192.29,1426.93,1963.10,2242.25,2385.82,4690.74,9460.75,13699.20,19240.01,19397.52,20571.67,23769.11,25966.50,26538.60,27607.10,23431.97,21569.13,27212.10
Plant biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.23,0.76,31.43,234.31,271.91,401.96,362.26,381.71,362.76,607.14,806.66,1326.52,1614.76,1771.20,4047.82,8832.39,13085.61,18592.21,18747.28,19922.49,23135.16,25305.66,25883.34,26959.24,22765.00,20950.71,26586.34
Animal biomass,0.00,1.04,51.80,121.42,191.70,198.30,196.96,198.50,234.10,458.96,455.70,542.10,568.24,525.35,556.40,459.68,422.66,585.15,620.27,636.58,627.49,614.62,642.92,628.36,613.59,647.80,650.24,649.18,633.95,660.84,655.26,647.86,666.97,618.42,625.76
Biogas:,455.11,536.39,705.54,825.01,878.16,972.51,1118.19,1325.75,1570.96,2113.00,2554.92,2869.92,3046.19,3679.74,4452.58,4764.39,4880.86,5185.35,5292.83,5576.22,6057.81,6330.20,6441.67,6653.68,6895.93,7251.24,7810.94,7883.02,7705.37,7621.93,7522.23,7609.44,7479.64,7406.33,7433.28
Landfill gas,139.00,208.00,377.00,446.93,516.96,561.86,707.54,917.91,1185.37,1702.60,2187.82,2507.02,2678.63,3276.21,4003.74,4290.48,4424.47,4676.81,4728.59,4929.30,5216.86,5318.02,5208.50,5174.65,5033.22,4872.19,4702.87,4283.78,3915.78,3624.32,3496.08,3312.89,3108.51,2994.47,2899.31
Sewage gas,316.00,328.00,328.00,377.58,360.77,410.40,410.40,407.70,385.59,410.40,367.10,362.90,367.56,394.27,440.01,465.91,444.89,493.55,548.59,603.43,723.46,775.00,738.54,765.98,840.14,894.38,950.28,967.35,992.03,1048.61,1066.80,1046.71,1000.58,987.39,987.99
Anaerobic digestion,0.11,0.39,0.54,0.50,0.43,0.25,0.25,0.14,0.00,0.00,0.00,0.00,0.00,9.26,8.83,8.00,11.50,14.99,15.65,43.49,117.49,237.18,494.63,713.05,1022.57,1484.67,2157.79,2631.89,2797.56,2948.99,2959.35,3249.85,3370.56,3424.47,3545.98
Bioliquids,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.91,144.46,146.20,148.79,145.95,145.63,143.69
Energy from waste wastes,140.72,150.47,176.85,251.52,448.60,470.76,489.43,585.49,848.95,856.40,839.78,879.70,907.29,964.96,971.07,963.83,1083.09,1189.49,1239.37,1509.31,1528.76,1503.99,1772.92,1648.16,1899.89,2582.43,2739.75,3385.60,3490.46,3791.57,4358.23,4635.73,4894.33,5375.62,5462.94
Co-firing with fossil fuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.49,601.70,1021.57,2532.69,2527.51,1757.36,1575.49,1625.02,2432.44,3093.03,1828.51,337.26,124.05,183.31,117.46,53.88,1.07,1.67,0.00,0.00,0.00,0.00,0.00
